Price,Pid,Property_name,Address
"400,000",H2101,1 bedroom mini flat Flat / Apartment for rent Pedro Palmgroove Shomolu Lagos,Pedro Palmgroove Shomolu Lagos
"750,000",H2097,2 bedroom Flat / Apartment for rent Abule Ijesha Fola Agoro Yaba Lagos,Abule Ijesha Abule Ijesha Fola Agoro Yaba Lagos
"550,000",H2096,2 bedroom Flat / Apartment for rent Pedro Palmgroove Shomolu Lagos,Pedro Palmgroove Shomolu Lagos
"700,000 / year",H2093,Office Space for rent Mende Maryland Ikeja Lagos,Mende Mende Maryland Ikeja Lagos
"450,000",H2085,1 bedroom mini flat Flat / Apartment for rent Akoka Yaba Lagos,St.Finbars Road Akoka Yaba Lagos
"650,000",H2084,3 bedroom Flat / Apartment for rent Onike Iwaya Yaba Lagos,Onike Iwaya Yaba Lagos
"600,000",H2083,1 bedroom mini flat Flat / Apartment for rent After Chevron Staff Club and Clinic Soluyi Gbagada Lagos,Josodat Estate After Chevron Staff Club and Clinic Soluyi Gbagada Lagos
"650,000",H2080,2 bedroom Flat / Apartment for rent Josodat Estate Soluyi Gbagada Lagos,Josodat Estate Soluyi Gbagada Lagos
"1,000,000",H2079,2 bedroom Flat / Apartment for rent After Chevron Staff Club and Clinic Soluyi Gbagada Lagos,Josodat Estate After Chevron Staff Club and Clinic Soluyi Gbagada Lagos
"25,000 / sqm","139,G8561",139.0 square meter Office Space for rent Alagomeji Yaba Lagos,"Hughes Avenue, Alagomeji, Yaba Alagomeji Yaba Lagos"
"250,000",G2223,Self Contain for rent Akoka Yaba Lagos,Adjacent UNILAG Road Akoka Yaba Lagos
"25,000 / sqm","90,G4210",3 bedroom Commercial Property for rent agness Sabo Yaba Lagos,Montgomery rd yaba agness Sabo Yaba Lagos
"500,000 / year",H2075,2 bedroom Flat / Apartment for rent Ebute Ikorodu Lagos,Solebo estate Ebute Ikorodu Lagos
"900,000",H2072,3 bedroom Flat / Apartment for rent Chemist Akoka Yaba Lagos,Emily Akinola Chemist Akoka Yaba Lagos
"250,000",H2070,Self Contain for rent Akoka Yaba Lagos,St.Finbars Road Akoka Yaba Lagos
"200,000",H2066,Self Contain for rent Abule Ijesha Fola Agoro Yaba Lagos,Fatai kadiri Abule Ijesha Fola Agoro Yaba Lagos
"240,000 / year",H2063,1 bedroom mini flat Flat / Apartment for rent Lakowe Ajah Lagos,Losoro area Lakowe Ajah Lagos
"1,300,000",D4253,3 bedroom Bungalow for rent Ajah Ibeju-Lekki Lagos,Thomas Estate Ajah Ibeju Lekki Lagos
"850,000 / year",H2061,2 bedroom Flat / Apartment for rent Ebute Metta Yaba Lagos,Ebute Metta East Ebute Metta Yaba Lagos
"1,200,000",H2060,3 bedroom Flat / Apartment for rent Off Adediran Ajao Street Ajao Estate Isolo Lagos,Off Adediran Ajao Street Ajao Estate Isolo Lagos
"1,500,000 / year",H2059,4 bedroom Flat / Apartment for rent OFF OPEBI Opebi Ikeja Lagos,ASENUJA STREET OFF OPEBI Opebi Ikeja Lagos
"550,000",H2058,2 bedroom Flat / Apartment for rent off Brown Street Soluyi Gbagada Lagos,off Brown Street Soluyi Gbagada Lagos
"400,000",H2055,1 bedroom mini flat Flat / Apartment for rent Ajayi Road Onike Yaba Lagos,Ajayi Road Onike Yaba Lagos
"1,500,000",H1481,3 bedroom Flat / Apartment for rent Magodo GRA Magodo Kosofe/Ikosi Lagos,Basheer shittu street magodo Magodo GRA Magodo Kosofe Ikosi Lagos
"5,000,000",H2052,3 bedroom Duplex for rent LEKKI PHASE 1 Lekki Phase 1 Lekki Lagos,-- LEKKI PHASE 1 Lekki Phase 1 Lekki Lagos
"9,000,000",H2050,3 bedroom Flat / Apartment for rent Sabo Yaba Lagos,Sabo Yaba Lagos
"2,200,000 / year",H2049,2 bedroom Flat / Apartment for rent Off Admiralty Lekki Phase 1 Lekki Lagos,Way Off Admiralty Lekki Phase 1 Lekki Lagos
"1,300,000",H2046,2 bedroom Flat / Apartment for rent Off Walter Ifako-gbagada Gbagada Lagos,Off Walter Ifako Gbagada Gbagada Lagos
"18,500 / sqm","4000,H2045",Commercial Property for rent Concorde Airport Road(Ikeja) Ikeja Lagos,Street Concorde Airport Road(ikeja) Ikeja Lagos
"900,000",H2042,3 bedroom Flat / Apartment for rent Bornu Way Alagomeji Yaba Lagos,Bornu Way Alagomeji Yaba Lagos
"650,000",H2041,1 bedroom mini flat Flat / Apartment for rent Ajao Estate Anthony Village Maryland Lagos,Ajao Estate Anthony Village Maryland Lagos
"850,000 / year",E3109,2 bedroom Flat / Apartment for rent Magodo phase 1 Estate Magodo Kosofe/Ikosi Lagos,Olani reti fasn street Magodo phase 1 Estate Magodo Kosofe Ikosi Lagos
"10,000,000",H2035,4 bedroom Duplex for rent Old Ikoyi Ikoyi Lagos,Cooper Road Old Ikoyi Ikoyi Lagos
"850,000 / year",H2033,2 bedroom Flat / Apartment for rent Ebute Metta Yaba Lagos,Ebute Metta East Ebute Metta Yaba Lagos
"800,000 / year",F6237,3 bedroom Flat / Apartment for rent Magodo-Shangisha Kosofe/Ikosi Lagos,Shangisha Magodo Shangisha Kosofe Ikosi Lagos
"650,000",H2021,3 bedroom Flat / Apartment for rent Ijesha Surulere Lagos,Ijesha Ijesha Surulere Lagos
"4,500,000 / year",H2018,3 bedroom Flat / Apartment for rent Lekki Phase 1 Lekki Lagos,Michael Olawale Cole Lekki Phase 1 Lekki Lagos
