Price,Pid,Property_name,Address
"75,000,000",E9056,5 bedroom Duplex for sale Ikate Lekki Lagos,ikate elegushi lekki Ikate Lekki Lagos
"35,000,000",E9055,3 bedroom Flat / Apartment for sale Civil Service Quarter Abule-Ijesha Yaba Lagos,Abule Ijesha Civil Service Quarter Abule Ijesha Yaba Lagos
"65,000,000",E9053,4 bedroom Duplex for sale Agungi Lekki Lagos,Agungi Agungi Lekki Lagos
"90,000,000",E9045,4 bedroom House for sale Ikate Lekki Lagos,ikate elegushi lekki Ikate Lekki Lagos
"8,000,000",E9026,3 bedroom Bungalow for sale Ikorodu Ikorodu Lagos,Ogijo Ikorodu Ikorodu Lagos
"8,000,000",E9020,689.0 square meter Land for sale Sosanya Soluyi Gbagada Lagos,Sosanya Sosanya Soluyi Gbagada Lagos
"120,000,000",E9013,3 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,sangotedo Sangotedo Ajah Lagos
"3,500,000",E9011,Land for sale Epe Road Epe Lagos,Oke Baale Epe Road Epe Lagos
"7,000,000",E9010,Land for sale Abijo Ajah Lagos,Abijo G.R.A Abijo Ajah Lagos
"1,800,000,000","12,E9007",Land for sale Close to Elizade Motors Anthony Village Maryland Lagos,Ikorodu Road Close to Elizade Motors Anthony Village Maryland Lagos
"60,000,000",E9006,4 bedroom Duplex for sale Magodo Kosofe/Ikosi Lagos,Magodo Isheri Magodo Kosofe Ikosi Lagos
"100,000,000",E9004,5 bedroom Duplex for sale Crown Estate Off Lekki-Epe Expressway Ajah Lagos,Duchess lane Crown Estate Off Lekki Epe Expressway Ajah Lagos
"60,000,000",E9003,4 bedroom House for sale chevron Lekki Lagos,"Chevy view Estate, Off Chevron drive, Lekki-Lagos. Chevron Lekki Lagos"
"35,000,000",E9002,2 bedroom Flat / Apartment for sale Elegushi Ikate Lekki Lagos,Abioro Elegushi Ikate Lekki Lagos
"42,000,000","10,E9001",Commercial Property for sale Oribanwa Phase 2 Eputu Ibeju-Lekki Lagos,Oribanwa phase 2 Oribanwa Phase 2 Eputu Ibeju Lekki Lagos
"45,000,000",E9000,4 bedroom Duplex for sale idado Idado Lekki Lagos,kunle idowu idado Idado Lekki Lagos
"35,000,000",E8998,4 bedroom Bungalow for sale Awoyaya Ajah Lagos,"Mayfair Gardens, Awoyaya,Ibeju-Lekki, Lagos. Awoyaya Ajah Lagos"
"150,000,000",E8994,7 bedroom Duplex for sale Igbo-efon Lekki Lagos,Atlantic View Estate Igbo Efon Lekki Lagos
"25,000,000",E8992,3 bedroom Flat / Apartment for sale Lamgbasa Ado Ajah Lagos,Greenville Estate Lamgbasa Ado Ajah Lagos
"900,000",E8984,Land for sale Ise town Ibeju-Lekki Lagos,Ajisebiara-mecca Egbeda Ise Town Ibeju Lekki Lagos
"10,000,000",E8979,2 bedroom Bungalow for sale Ijede Ijede Ikorodu Lagos,Ijede Ijede Ijede Ikorodu Lagos
"8,000,000",E8978,2 bedroom Bungalow for sale Pipeline Ijegun Ikotun/Igando Lagos,Afarunbi Street Pipeline Ijegun Ikotun Igando Lagos
"55,000,000",E8967,5 bedroom Duplex for sale chevron Lekki Lagos,Chevyview Estate Chevron Lekki Lagos
"55,000,000",E8960,4 bedroom House for sale chevron Lekki Lagos,"Chevy view Estate, Off Chevron drive, Lekki-Lagos. Chevron Lekki Lagos"
"30,000,000",E8952,3 bedroom Flat / Apartment for sale isheri north Magodo Kosofe/Ikosi Lagos,Femi wusu drive isheri north Magodo Kosofe Ikosi Lagos
"60,000,000",E8951,4 bedroom Duplex for sale Abrahim adesanya Lekki Phase 2 Lekki Lagos,volta avenue crown estate Abrahim adesanya Lekki Phase 2 Lekki Lagos
"150,000,000",E8950,3 bedroom Flat / Apartment for sale oregun Opebi Ikeja Lagos,"Adedayo banjo street,off agbaoku street opebi oregun Opebi Ikeja Lagos"
"30,000,000",E8949,3 bedroom Flat / Apartment for sale oke Afa Bucknor Isolo Lagos,"Okoye street ,off pedro oke Afa Bucknor Isolo Lagos"
"30,000,000",E8948,3 bedroom Flat / Apartment for sale oke Afa Bucknor Isolo Lagos,"Okoye street ,off pedro oke Afa Bucknor Isolo Lagos"
"60,000,000",E8940,500.0 square meter Land for sale Ogudu GRA Ogudu Lagos,Ogudu GRA Ogudu Gra Ogudu Lagos
"60,000,000",E8939,500.0 square meter Land for sale Ogudu GRA Ogudu Lagos,Ogudu GRA Ogudu Gra Ogudu Lagos
"270,000,000",E8929,5 bedroom Duplex for sale 1004 Victoria Island Lagos,Ozumba Mbadiwe 1004 Victoria Island Lagos
"20,000,000",E8926,3 bedroom Flat / Apartment for sale Igbogbo Ikorodu Lagos,Bishop Street Igbogbo Ikorodu Lagos
"1,500,000",E8925,Land for sale lekki coastal road Free Trade Zone Ibeju-Lekki Lagos,10 km away from Dangote refinery lekki coastal road Free Trade Zone Ibeju Lekki Lagos
"70,000,000",E8924,3 bedroom Flat / Apartment for sale Bamgbose Toyin street Ikeja Lagos,Off bamgbose Bamgbose Toyin Street Ikeja Lagos
"38,000,000",E8923,4 bedroom Duplex for sale Abraham adesanya estate Ajah Lagos,By Lekki Gardens Phase II Abraham Adesanya Estate Ajah Lagos
"700,000",E8919,600.0 square meter Land for sale Free Trade Zone Ibeju-Lekki Lagos,Eleko Free Trade Zone Ibeju Lekki Lagos
"600,000",E8916,600.0 square meter Land for sale Akodo Ise Ibeju-Lekki Lagos,Okun Folu Express Akodo Ise Ibeju Lekki Lagos
"45,000,000",E8915,4 bedroom House for sale Idado Lekki Lagos,"Idado, Lekki-Lagos. Idado Lekki Lagos"
"20,000,000",E8914,3 bedroom House for sale Buckno Ejigbo Ejigbo Lagos,Isheri-Ijegun Express Buckno Ejigbo Ejigbo Lagos
"110,000,000",E8912,5 bedroom Duplex for sale Ikate Lekki Lagos,Abioro Ikate Lekki Lagos
"57,000,000",E8905,4 bedroom Duplex for sale Osapa london Lekki Lagos,Osapa london lekki Osapa London Lekki Lagos
"120,000,000",E8904,7 bedroom Duplex for sale Gowon Estate Egbeda Alimosho Lagos,Third Avenue Gowon Estate Egbeda Alimosho Lagos
"55,000,000",E8903,5 bedroom House for sale Gowon Estate Egbeda Alimosho Lagos,Third Avenue Gowon Estate Egbeda Alimosho Lagos
"95,000,000",E8901,4 bedroom Duplex for sale Victoria Island Extension Victoria Island Lagos,Oniru estate Victoria Island Extension Victoria Island Lagos
"15,000,000",E8900,600.0 square meter Land for sale Lakowe Lakowe Ajah Lagos,Beechwood Estate Lakowe Lakowe Ajah Lagos
"30,000,000",E8889,3 bedroom Bungalow for sale Divine Estate Thomas estate Ajah Lagos,Aguleri Divine Estate Thomas Estate Ajah Lagos
"100,000,000",E8886,5 bedroom Duplex for sale Apple Junction Apple junction Amuwo Odofin Lagos,Lawrence Osagie Street Behind GTB Apple Junction Apple Junction Amuwo Odofin Lagos
"400,000,000",E8882,6 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki Phase 1 Lekki Lagos
"65,000,000",E8880,4 bedroom Duplex for sale Abijo Ajah Lagos,Bashorun Town Abijo Ajah Lagos
"60,000,000",E8875,5 bedroom House for sale Agungi Lekki Lagos,Ologolo lekki Agungi Lekki Lagos
"48,000,000",E8872,4 bedroom House for sale Agungi Lekki Lagos,Ologolo lekki Agungi Lekki Lagos
"38,000,000",E8869,2 bedroom Flat / Apartment for sale Osapa london Lekki Lagos,Freedom road Osapa London Lekki Lagos
"40,000,000",E8868,Land for sale Salvation road Opebi Ikeja Lagos,Henry adefowope street Salvation road Opebi Ikeja Lagos
"57,000,000",E8866,4 bedroom Duplex for sale Agungi Lekki Lagos,Ologolo lekki Agungi Lekki Lagos
"65,000,000",E8858,4 bedroom Duplex for sale Allen Avenue Ikeja Lagos,ALLEN Allen Avenue Ikeja Lagos
"67,000,000",E8855,5 bedroom Duplex for sale Ikota Lekki Lagos,ikota villa Ikota Lekki Lagos
"40,000,000",E8853,3 bedroom Flat / Apartment for sale Elegushi Ikate Lekki Lagos,Abioro Elegushi Ikate Lekki Lagos
"700,000",E8852,Land for sale free trade zone LaCampaigne Tropicana Ibeju-Lekki Lagos,okunfolu free trade zone Lacampaigne Tropicana Ibeju Lekki Lagos
"40,000,000",E8850,3 bedroom Flat / Apartment for sale Agungi Lekki Lagos,"Off Ajiran road, Agungi, Lekki-Lagos. Agungi Lekki Lagos"
"150,000,000",E8848,6 bedroom Duplex for sale Sangotedo Ajah Lagos,Greenland Estate Sangotedo Ajah Lagos
"199,000,000",E8845,3 bedroom Flat / Apartment for sale Old Ikoyi Ikoyi Lagos,Milverton Road Old Ikoyi Ikoyi Lagos
"75,000,000",E8843,4 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,"Off Admiralty way, Lekki phase1, Lagos. Lekki Phase 1 Lekki Lagos"
"100,000,000",E8837,5 bedroom Duplex for sale Magodo-Shangisha Kosofe/Ikosi Lagos,Magodo Shangisha GRA Magodo Shangisha Kosofe Ikosi Lagos
"280,000,000",E8830,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,lekki phase 1 Lekki Phase 1 Lekki Lagos
"80,000,000",E8829,4 bedroom House for sale Lekki Phase 1 Lekki Lagos,"Sir Johnson Asinuga Street, off Alpha Beach Road Lekki Phase 1 Lekki Lagos"
"300,000,000","16,E8828",1379.0 square meter Duplex for sale Lekki Phase 1 Lekki Lagos, Ibiyinka Salvador St. off Admiralty way Lekki Phase 1 Lekki Lagos
"17,000,000",E8825,620.0 square meter Land for sale Thomas estate Ajah Lagos,"Thomas Estate, Ajah-Lagos. Thomas Estate Ajah Lagos"
"150,000,000",E8823,5 bedroom Duplex for sale chevron Lekki Lagos,"Northern Foreshore Estate, Off Chevron drive, Lekki-Lagos. Chevron Lekki Lagos"
"110,000,000",E8822,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,lekki phase 1 Lekki Phase 1 Lekki Lagos
"30,000,000",E8819,3 bedroom Duplex for sale Lekki Gardens estate Ajah Lagos,Victoria Crest Estate Lekki Gardens Estate Ajah Lagos
"35,000,000",E8817,4 bedroom Duplex for sale Lekki Gardens estate Ajah Lagos,Victoria Crest Estate Lekki Gardens Estate Ajah Lagos
"70,000,000",E8814,Land for sale Shangisha Magodo Kosofe/Ikosi Lagos, off Emmanuel keshi street Shangisha Magodo Kosofe Ikosi Lagos
"70,000,000",E8812,Land for sale Shangisha Magodo Kosofe/Ikosi Lagos,brooks estate Shangisha Magodo Kosofe Ikosi Lagos
"60,000,000",E8807,4 bedroom Duplex for sale Magodo Kosofe/Ikosi Lagos, shangisha Magodo Kosofe Ikosi Lagos
"26,000,000","11,E8803",3 bedroom Flat / Apartment for sale Ketu Kosofe/Ikosi Lagos,alapere Ketu Kosofe Ikosi Lagos
"13,000,000",E8800,Land for sale Behind Local Govt Council off Agboyi Rd Ketu Kosofe/Ikosi Lagos,Aina-Obe Str Behind Local Govt Council off Agboyi Rd Ketu Kosofe Ikosi Lagos
"15,000,000",E8799,Land for sale Alapere Ketu Kosofe/Ikosi Lagos,Ezobi Str Alapere Ketu Kosofe Ikosi Lagos
"15,000,000",E8798,Land for sale Alapere Ketu Kosofe/Ikosi Lagos,Ezobi Str Alapere Ketu Kosofe Ikosi Lagos
"75,000,000",E8790,5 bedroom Duplex for sale Ikate Lekki Lagos,"Off Kusenla road, Ikate Elegushi,Lekki-Lagos. Ikate Lekki Lagos"
"700,000",E8786,600.0 square meter Land for sale LaCampaigne Tropicana Ibeju-Lekki Lagos,Igbogun Lacampaigne Tropicana Ibeju Lekki Lagos
"18,000,000",E8771,3 bedroom Duplex for sale Adjacent Abraham Adesanya Lekki Phase 2 Lekki Lagos,Lekki Garden Phase 2 Adjacent Abraham Adesanya Lekki Phase 2 Lekki Lagos
"80,000,000",E8770,6 bedroom Duplex for sale Behind Femi Okunnu Estate Osapa london Lekki Lagos,Victory Park Estate Behind Femi Okunnu Estate Osapa London Lekki Lagos
"35,000,000",E8764,2 bedroom Flat / Apartment for sale arida Arida Egbe/Idimu Lagos,"Adedolapo crescent, Arida arida Arida Egbe Idimu Lagos"
"150,000,000",E8756,4 bedroom House for sale Victoria Island Extension Victoria Island Lagos,Oniru estate Victoria Island Extension Victoria Island Lagos
"65,000,000",E8755,4 bedroom Duplex for sale Ikate Lekki Lagos,ikate Ikate Lekki Lagos
"40,000,000",E8754,3 bedroom Flat / Apartment for sale Ikate Lekki Lagos,PRIMEWATERVIEW GARDENS. Ikate Lekki Lagos
"85,000,000",E8746,4 bedroom Flat / Apartment for sale Off Lekki-Epe Expressway Ajah Lagos,"Hopeville estate, ajah Off Lekki Epe Expressway Ajah Lagos"
"115,000,000",E8739,6 bedroom Flat / Apartment for sale chevy view estate Lekki Phase 1 Lekki Lagos,opposite chevron chevy view estate Lekki Phase 1 Lekki Lagos
"25,289,900",E8738,3 bedroom Flat / Apartment for sale sangotedo LBS Ibeju-Lekki Lagos,"Cardinal Olubunmi-okojie Road, off Lekki-Ajah expressway,opposite monastery sangotedo Lbs Ibeju Lekki Lagos"
"213,000,000",E8735,5 bedroom Duplex for sale Phase 2 Gbagada Lagos,gbagada Phase 2 Gbagada Lagos
"95,000,000",E8733,5 bedroom Duplex for sale Ikate Lekki Lagos,ikate elegushi lekki Ikate Lekki Lagos
"95,000,000",E8730,3 bedroom Flat / Apartment for sale Lekki Phase 1 Lekki Lagos,Lekki phase 1 Lekki Phase 1 Lekki Lagos
"820,000,000",E8726,Land for sale Ijesha Surulere Lagos,Agunlejika & Surroundings Ijesha Surulere Lagos
"35,000,000",E8724,"3 bedroom Flat / Apartment for sale After 4th Rounabout, Before Jakande Lekki Lagos","After 4th Rounabout, Before Jakande Lekki Lagos"
"620,000,000",E8722,Land for sale Kirikiri Apapa Lagos,Flour Mill Road Kirikiri Apapa Lagos
"42,000,000",E8713,4 bedroom Duplex for sale Ajah Graceland Estate Ajah Lagos,Secured Ajah Graceland Estate Ajah Lagos
"70,000,000",E8712,4 bedroom House for sale Jakande Lekki Lagos,ilasan Jakande Lekki Lagos
"1,600,000,000",E8703,4549.0 square meter Land for sale Old Ikoyi Ikoyi Lagos,Bayo kuku road Old Ikoyi Ikoyi Lagos
"30,000,000",E8702,3 bedroom Bungalow for sale Thomas estate Ajah Lagos,Thomas estate Thomas Estate Ajah Lagos
"2,500,000,000",E8701,4500.0 square meter Land for sale Bourdillon Ikoyi Lagos,Bourdillon road Bourdillon Ikoyi Lagos
"800,000,000",E8700,2000.0 square meter Land for sale Banana Island Ikoyi Lagos,Banana Island Banana Island Ikoyi Lagos
"100,000,000",E8698,Land for sale Iyana Ipaja Ipaja Lagos,iyana ipaja main market Iyana Ipaja Ipaja Lagos
"100,000,000",E8696,2 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,L B S Sangotedo Ajah Lagos
"130,000,000",E8695,Commercial Property for sale Alaba Ojo Lagos,Ojojo drive Alaba Ojo Lagos
"1,000,000",E8694,Land for sale LaCampaigne Tropicana Ibeju-Lekki Lagos,Golden crust estate Lacampaigne Tropicana Ibeju Lekki Lagos
"30,000,000",E8693,3 bedroom Duplex for sale chevron Lekki Lagos,lafiaji Chevron Lekki Lagos
"28,000,000",E8692,4 bedroom Duplex for sale Westend Ikota Lekki Lagos,Ikota Westend Ikota Lekki Lagos
"31,499,000",E8689,3 bedroom Duplex for sale by emperor Estate and Novares Lekki shopping mall Sangotedo Ajah Lagos,"off lekki-ajah expressway,cardinal olubunmi okojie road opposite monastery. by emperor Estate and Novares Lekki shopping mall Sangotedo Ajah Lagos"
"30,000,000",E8687,1336.0 square meter Land for sale Ibeju Lekki Phase 1 Lekki Lagos,Bogije Ibeju Lekki Phase 1 Lekki Lagos
"40,000,000",E8684,4 bedroom Duplex for sale Agungi Agungi Lekki Lagos,Agungi Agungi Agungi Lekki Lagos
"35,000,000",E8683,3 bedroom Flat / Apartment for sale Oko oba Agege Lagos,Oko oba road Oko Oba Agege Lagos
"30,000,000",E8676,500.0 square meter Land for sale Anthony Village Maryland Lagos,Corona estate Anthony Village Maryland Lagos
"240,000,000",E8675,5 bedroom Duplex for sale V.G.C Lekki Lagos,VGC V.g.c Lekki Lagos
"44,000,000",E8674,4 bedroom Duplex for sale Agungi Agungi Lekki Lagos,Agungi Agungi Agungi Lekki Lagos
"65,000,000",E8668,3 bedroom Flat / Apartment for sale Ikeja GRA Ikeja Lagos,Ladoke Akintola Street Ikeja Gra Ikeja Lagos
"21,000,000",E8659,2 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,Opposite lagos business school Sangotedo Ajah Lagos
